year,week_of_year,borough,avg_ridership,total_ridership,peak_period,period,week_start
2025,37,Manhattan,150.68052601044283,5454183.0,Evening Peak,Post Policy,2025-09-08
2025,37,Queens,41.14808644092713,839709.0,Evening Peak,Post Policy,2025-09-08
2025,38,Bronx,18.882828824002143,352448.0,Evening Peak,Post Policy,2025-09-15
2025,38,Brooklyn,35.408835283700675,1479629.0,Evening Peak,Post Policy,2025-09-15
2025,38,Manhattan,151.44802330420308,5458944.0,Evening Peak,Post Policy,2025-09-15
2025,38,Queens,41.64978384751425,847823.0,Evening Peak,Post Policy,2025-09-15
2025,39,Bronx,19.200615783503483,355461.0,Evening Peak,Post Policy,2025-09-22
2025,39,Brooklyn,33.57697057755176,1386561.0,Evening Peak,Post Policy,2025-09-22
2025,39,Manhattan,145.86378120757016,5264078.0,Evening Peak,Post Policy,2025-09-22
2025,39,Queens,39.02805896805897,794221.0,Evening Peak,Post Policy,2025-09-22
2025,40,Bronx,18.78623168061093,334564.0,Evening Peak,Post Policy,2025-09-29
2025,40,Brooklyn,34.32699985213662,1392921.0,Evening Peak,Post Policy,2025-09-29
2025,40,Manhattan,144.47160169775495,5173817.0,Evening Peak,Post Policy,2025-09-29
2025,40,Queens,39.48765242340404,770720.0,Evening Peak,Post Policy,2025-09-29
2025,41,Bronx,18.340461262875056,327634.0,Evening Peak,Post Policy,2025-10-06
2025,41,Brooklyn,34.09354228448717,1333603.0,Evening Peak,Post Policy,2025-10-06
2025,41,Manhattan,150.6616137197463,5297413.0,Evening Peak,Post Policy,2025-10-06
2025,41,Queens,38.934235481060014,759568.0,Evening Peak,Post Policy,2025-10-06
2025,42,Bronx,18.29677605066206,317815.0,Evening Peak,Post Policy,2025-10-13
2025,42,Brooklyn,34.00005048720149,1346878.0,Evening Peak,Post Policy,2025-10-13
2025,42,Manhattan,146.0963402571711,5169619.0,Evening Peak,Post Policy,2025-10-13
2025,42,Queens,38.97286903382152,739783.0,Evening Peak,Post Policy,2025-10-13
2025,43,Bronx,19.464356379670985,344305.0,Evening Peak,Post Policy,2025-10-20
2025,43,Brooklyn,37.464966858826216,1475258.0,Evening Peak,Post Policy,2025-10-20
2025,43,Manhattan,158.06915210062607,5579683.0,Evening Peak,Post Policy,2025-10-20
2025,43,Queens,41.059315940838125,799507.0,Evening Peak,Post Policy,2025-10-20
2025,44,Bronx,20.089346484397527,348289.0,Evening Peak,Post Policy,2025-10-27
2025,44,Brooklyn,38.03574103246133,1472858.0,Evening Peak,Post Policy,2025-10-27
2025,44,Manhattan,164.60758440664353,5738385.0,Evening Peak,Post Policy,2025-10-27
2025,44,Queens,41.58572844400397,797240.0,Evening Peak,Post Policy,2025-10-27
2025,45,Bronx,19.69051590611224,330525.0,Evening Peak,Post Policy,2025-11-03
2025,45,Brooklyn,37.485703821905986,1432966.0,Evening Peak,Post Policy,2025-11-03
2025,45,Manhattan,157.57227240143368,5495333.0,Evening Peak,Post Policy,2025-11-03
2025,45,Queens,41.451046115586315,766720.0,Evening Peak,Post Policy,2025-11-03
2025,46,Bronx,19.923207227555054,317556.0,Evening Peak,Post Policy,2025-11-10
2025,46,Brooklyn,38.09186738908857,1420141.0,Evening Peak,Post Policy,2025-11-10
2025,46,Manhattan,157.68919701267873,5447531.0,Evening Peak,Post Policy,2025-11-10
2025,46,Queens,41.30262802870865,765379.0,Evening Peak,Post Policy,2025-11-10
2025,47,Bronx,20.613707165109037,337467.0,Evening Peak,Post Policy,2025-11-17
2025,47,Brooklyn,39.19811627151673,1448292.0,Evening Peak,Post Policy,2025-11-17
2025,47,Manhattan,161.41829360685355,5539553.0,Evening Peak,Post Policy,2025-11-17
2025,47,Queens,42.78192384987236,787658.0,Evening Peak,Post Policy,2025-11-17
2025,48,Bronx,17.2883565602723,269197.0,Evening Peak,Post Policy,2025-11-24
2025,48,Brooklyn,31.562363552797883,1098749.0,Evening Peak,Post Policy,2025-11-24
2025,48,Manhattan,124.59908088235294,4066914.0,Evening Peak,Post Policy,2025-11-24
2025,48,Queens,37.1042903171104,656412.0,Evening Peak,Post Policy,2025-11-24
2025,49,Bronx,21.340400700252868,329133.0,Evening Peak,Post Policy,2025-12-01
2025,49,Brooklyn,40.901638884997894,1459984.0,Evening Peak,Post Policy,2025-12-01
2025,49,Manhattan,173.4157534661258,5728616.0,Evening Peak,Post Policy,2025-12-01
2025,49,Queens,44.16196394580673,788821.0,Evening Peak,Post Policy,2025-12-01
2025,50,Bronx,21.284084278768237,328307.0,Evening Peak,Post Policy,2025-12-08
2025,50,Brooklyn,42.00203625100379,1464527.0,Evening Peak,Post Policy,2025-12-08
2025,50,Manhattan,183.2317685724916,5909591.0,Evening Peak,Post Policy,2025-12-08
2025,50,Queens,44.6604161902584,781200.0,Evening Peak,Post Policy,2025-12-08
2025,51,Bronx,22.033807351757446,328480.0,Evening Peak,Post Policy,2025-12-15
2025,51,Brooklyn,41.910083812750045,1435127.0,Evening Peak,Post Policy,2025-12-15
2025,51,Manhattan,178.3299807674118,5656092.0,Evening Peak,Post Policy,2025-12-15
2025,51,Queens,46.16038896373968,788004.0,Evening Peak,Post Policy,2025-12-15
2025,52,Bronx,17.806509685317202,247279.0,Evening Peak,Post Policy,2025-12-22
2025,52,Brooklyn,32.01713480447106,999671.0,Evening Peak,Post Policy,2025-12-22
2025,52,Manhattan,124.88449704142012,3693459.0,Evening Peak,Post Policy,2025-12-22
2025,52,Queens,39.749774164408315,616042.0,Evening Peak,Post Policy,2025-12-22
2026,1,Bronx,16.4672107674685,115007.0,Evening Peak,Post Policy,2025-12-29
2026,1,Brooklyn,34.42935685973661,538544.0,Evening Peak,Post Policy,2025-12-29
2026,1,Manhattan,123.83129388164492,1851897.0,Evening Peak,Post Policy,2025-12-29
2026,1,Queens,37.799490445859874,296726.0,Evening Peak,Post Policy,2025-12-29
2026,2,Bronx,24.51435810810811,319275.0,Evening Peak,Post Policy,2026-01-05
2026,2,Brooklyn,45.747436833142174,1316291.0,Evening Peak,Post Policy,2026-01-05
2026,2,Manhattan,182.4025216477664,5034492.0,Evening Peak,Post Policy,2026-01-05
2026,2,Queens,50.61161562829989,718938.0,Evening Peak,Post Policy,2026-01-05
2026,3,Bronx,25.1704106565776,319337.0,Evening Peak,Post Policy,2026-01-12
2026,3,Brooklyn,47.02028770367229,1330345.0,Evening Peak,Post Policy,2026-01-12
2026,3,Manhattan,188.04306593774405,5056290.0,Evening Peak,Post Policy,2026-01-12
2026,3,Queens,51.44961461604339,720912.0,Evening Peak,Post Policy,2026-01-12
2026,4,Bronx,23.046462602243025,273308.0,Evening Peak,Post Policy,2026-01-19
2026,4,Brooklyn,43.939709017466434,1174816.0,Evening Peak,Post Policy,2026-01-19
2026,4,Manhattan,175.250540806293,4455745.0,Evening Peak,Post Policy,2026-01-19
2026,4,Queens,47.81965973534972,632415.0,Evening Peak,Post Policy,2026-01-19
2026,5,Bronx,24.512968066137137,302441.0,Evening Peak,Post Policy,2026-01-26
2026,5,Brooklyn,48.20304193219025,1369111.0,Evening Peak,Post Policy,2026-01-26
2026,5,Manhattan,183.08183425584252,4763057.0,Evening Peak,Post Policy,2026-01-26
2026,5,Queens,50.88993366863473,698159.0,Evening Peak,Post Policy,2026-01-26
2026,6,Bronx,26.991166077738516,336094.0,Evening Peak,Post Policy,2026-02-02
2026,6,Brooklyn,51.63996152750071,1449637.0,Evening Peak,Post Policy,2026-02-02
2026,6,Manhattan,202.33754852596377,5264216.0,Evening Peak,Post Policy,2026-02-02
2026,6,Queens,54.366922631121405,750481.0,Evening Peak,Post Policy,2026-02-02
2026,7,Bronx,27.139660371369622,342014.0,Evening Peak,Post Policy,2026-02-09
2026,7,Brooklyn,51.68320033746968,1470232.0,Evening Peak,Post Policy,2026-02-09
2026,7,Manhattan,204.59164626682983,5348844.0,Evening Peak,Post Policy,2026-02-09
2026,7,Queens,55.87209717756342,781930.0,Evening Peak,Post Policy,2026-02-09
2026,8,Bronx,22.873457042426224,279811.0,Evening Peak,Post Policy,2026-02-16
2026,8,Brooklyn,45.26605134966853,1235899.0,Evening Peak,Post Policy,2026-02-16
2026,8,Manhattan,180.24530899649892,4582016.0,Evening Peak,Post Policy,2026-02-16
2026,8,Queens,49.558572594406115,668000.0,Evening Peak,Post Policy,2026-02-16
2026,9,Bronx,25.66317849242811,301645.0,Evening Peak,Post Policy,2026-02-23
2026,9,Brooklyn,46.56854751425067,1290787.0,Evening Peak,Post Policy,2026-02-23
2026,9,Manhattan,173.07847417933553,4360366.0,Evening Peak,Post Policy,2026-02-23
2026,9,Queens,50.97714157236004,680188.0,Evening Peak,Post Policy,2026-02-23
2026,10,Bronx,31.493165664297432,57601.0,Evening Peak,Post Policy,2026-03-02
2026,10,Brooklyn,53.64772453647965,222799.0,Evening Peak,Post Policy,2026-03-02
2026,10,Manhattan,221.57910130284495,833359.0,Evening Peak,Post Policy,2026-03-02
2026,10,Queens,58.366567460317455,117667.0,Evening Peak,Post Policy,2026-03-02
2025,1,Bronx,25.657724122512853,459068.0,Morning Peak,Post Policy,2024-12-30
2025,1,Brooklyn,31.858097079577128,1268685.0,Morning Peak,Post Policy,2024-12-30
2025,1,Manhattan,56.22789105058366,1806321.0,Morning Peak,Post Policy,2024-12-30
2025,1,Queens,50.49251920744036,998944.0,Morning Peak,Post Policy,2024-12-30
2025,2,Bronx,33.19357792564556,543744.0,Morning Peak,Post Policy,2025-01-06
2025,2,Brooklyn,46.06678270183425,1720364.0,Morning Peak,Post Policy,2025-01-06
2025,2,Manhattan,80.90844599116583,2417868.0,Morning Peak,Post Policy,2025-01-06
2025,2,Queens,66.55578854431079,1206124.0,Morning Peak,Post Policy,2025-01-06
2025,3,Bronx,33.872878273520854,558767.0,Morning Peak,Post Policy,2025-01-13
2025,3,Brooklyn,46.54781945394287,1769655.0,Morning Peak,Post Policy,2025-01-13
2025,3,Manhattan,82.1304720464135,2491510.0,Morning Peak,Post Policy,2025-01-13
2025,3,Queens,68.51573194965776,1241231.0,Morning Peak,Post Policy,2025-01-13
2025,4,Bronx,28.302201427628816,471826.0,Morning Peak,Post Policy,2025-01-20
2025,4,Brooklyn,39.21023885433544,1500419.0,Morning Peak,Post Policy,2025-01-20
2025,4,Manhattan,73.466476840049,2218908.0,Morning Peak,Post Policy,2025-01-20
2025,4,Queens,64.65893496872913,1064868.0,Morning Peak,Post Policy,2025-01-20
2025,5,Bronx,31.356831638923023,561350.0,Morning Peak,Post Policy,2025-01-27
2025,5,Brooklyn,43.296604485953445,1743078.0,Morning Peak,Post Policy,2025-01-27
2025,5,Manhattan,79.65316728459612,2513615.0,Morning Peak,Post Policy,2025-01-27
2025,5,Queens,70.03919097003381,1222394.0,Morning Peak,Post Policy,2025-01-27
2025,6,Bronx,32.75020655466813,594580.0,Morning Peak,Post Policy,2025-02-03
2025,6,Brooklyn,44.899581896867886,1836348.0,Morning Peak,Post Policy,2025-02-03
2025,6,Manhattan,80.91114878653731,2577101.0,Morning Peak,Post Policy,2025-02-03
2025,6,Queens,71.59309652595773,1283879.0,Morning Peak,Post Policy,2025-02-03
2025,7,Bronx,32.30490628445424,586011.0,Morning Peak,Post Policy,2025-02-10
2025,7,Brooklyn,44.36846000148006,1798653.0,Morning Peak,Post Policy,2025-02-10
2025,7,Manhattan,80.57375805839969,2549676.0,Morning Peak,Post Policy,2025-02-10
